Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote
Sierra Leone,7700 ,2400 , 24 000,"Historical incidence trends were not available or not reliable.",9000 ,3100 , 26 000,"Historical incidence trends were not available or not reliable.",10 000 ,3800 , 28 000,"Historical incidence trends were not available or not reliable.",12 000 ,4700 , 29 000,"Historical incidence trends were not available or not reliable.",13 000 ,5600 , 29 000,"Historical incidence trends were not available or not reliable.",14 000 ,6600 , 29 000,"Historical incidence trends were not available or not reliable.",15 000 ,8000 , 29 000,"Historical incidence trends were not available or not reliable.",17 000 ,9700 , 29 000,"Historical incidence trends were not available or not reliable.",19 000 ,12 000 , 30 000,"Historical incidence trends were not available or not reliable.",21 000 ,14 000 , 31 000,"Historical incidence trends were not available or not reliable.",24 000 ,17 000 , 33 000,"Historical incidence trends were not available or not reliable.",28 000 ,21 000 , 36 000,"Historical incidence trends were not available or not reliable.",32 000 ,25 000 , 39 000,"Historical incidence trends were not available or not reliable.",36 000 ,30 000 , 44 000,"Historical incidence trends were not available or not reliable.",40 000 ,34 000 , 48 000,"Historical incidence trends were not available or not reliable.",44 000 ,37 000 , 52 000,"Historical incidence trends were not available or not reliable.",47 000 ,40 000 , 56 000,"Historical incidence trends were not available or not reliable.",50 000 ,42 000 , 59 000,"Historical incidence trends were not available or not reliable.",52 000 ,43 000 , 62 000,"Historical incidence trends were not available or not reliable.",54 000 ,44 000 , 66 000,"Historical incidence trends were not available or not reliable.",56 000 ,44 000 , 69 000,"Historical incidence trends were not available or not reliable.",58 000 ,44 000 , 73 000,"Historical incidence trends were not available or not reliable.",60 000 ,44 000 , 78 000,"Historical incidence trends were not available or not reliable.",62 000 ,45 000 , 84 000,"Historical incidence trends were not available or not reliable.",64 000 ,44 000 , 89 000,"Historical incidence trends were not available or not reliable.",66 000 ,43 000 , 96 000,"Historical incidence trends were not available or not reliable.",67 000 ,43 000 , 100 000,"Historical incidence trends were not available or not reliable."
Singapore,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Slovakia,<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Estimates for children are not published because of small numbers.",<200 ,<100 , <200,"Estimates for children are not published because of small numbers.",<200 ,<100 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1100,"Estimates for children are not published because of small numbers."
Slovenia,<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1100,"Estimates for children are not published because of small numbers."
Somalia,3100 ,<500 , 11 000,,4400 ,<500 , 15 000,,6000 ,<1000 , 17 000,,7900 ,1400 , 20 000,,10 000 ,2400 , 22 000,,12 000 ,3600 , 25 000,,15 000 ,5300 , 28 000,,17 000 ,7500 , 31 000,,20 000 ,10 000 , 32 000,,22 000 ,13 000 , 35 000,,24 000 ,15 000 , 36 000,,25 000 ,17 000 , 36 000,,26 000 ,18 000 , 37 000,,27 000 ,19 000 , 38 000,,27 000 ,20 000 , 37 000,,27 000 ,20 000 , 37 000,,27 000 ,20 000 , 37 000,,27 000 ,20 000 , 36 000,,27 000 ,20 000 , 35 000,,26 000 ,19 000 , 35 000,,26 000 ,19 000 , 34 000,,26 000 ,19 000 , 33 000,,25 000 ,19 000 , 33 000,,25 000 ,18 000 , 33 000,,24 000 ,18 000 , 33 000,,24 000 ,17 000 , 33 000,,24 000 ,16 000 , 33 000,
South Africa,130 000 ,110 000 , 150 000,,230 000 ,200 000 , 260 000,,390 000 ,340 000 , 440 000,,620 000 ,560 000 , 700 000,,950 000 ,860 000 , 1 000 000,,1 400 000 ,1 200 000 , 1 500 000,,1 800 000 ,1 700 000 , 2 000 000,,2 300 000 ,2 100 000 , 2 500 000,,2 800 000 ,2 600 000 , 3 000 000,,3 200 000 ,3 000 000 , 3 400 000,,3 600 000 ,3 400 000 , 3 900 000,,4 000 000 ,3 700 000 , 4 300 000,,4 300 000 ,4 000 000 , 4 700 000,,4 600 000 ,4 300 000 , 5 000 000,,4 900 000 ,4 500 000 , 5 400 000,,5 100 000 ,4 700 000 , 5 700 000,,5 400 000 ,4 800 000 , 5 900 000,,5 600 000 ,5 000 000 , 6 200 000,,5 800 000 ,5 100 000 , 6 400 000,,5 900 000 ,5 300 000 , 6 600 000,,6 100 000 ,5 400 000 , 6 800 000,,6 200 000 ,5 600 000 , 7 000 000,,6 400 000 ,5 800 000 , 7 100 000,,6 600 000 ,6 000 000 , 7 300 000,,6 800 000 ,6 100 000 , 7 500 000,,6 900 000 ,6 300 000 , 7 700 000,,7 100 000 ,6 400 000 , 7 800 000,
South Sudan,1100 ,<500 , 3700,,2100 ,<1000 , 6500,,3900 ,1400 , 11 000,,6800 ,2500 , 17 000,,11 000 ,4200 , 26 000,,18 000 ,7200 , 38 000,,28 000 ,11 000 , 54 000,,40 000 ,17 000 , 72 000,,55 000 ,25 000 , 93 000,,71 000 ,34 000 , 110 000,,88 000 ,44 000 , 130 000,,100 000 ,57 000 , 150 000,,120 000 ,71 000 , 160 000,,130 000 ,82 000 , 180 000,,140 000 ,96 000 , 190 000,,150 000 ,110 000 , 200 000,,160 000 ,120 000 , 210 000,,170 000 ,130 000 , 220 000,,180 000 ,140 000 , 220 000,,180 000 ,140 000 , 230 000,,180 000 ,150 000 , 230 000,,190 000 ,150 000 , 240 000,,190 000 ,150 000 , 250 000,,200 000 ,150 000 , 260 000,,200 000 ,140 000 , 270 000,,200 000 ,130 000 , 280 000,,200 000 ,130 000 , 290 000,
Spain,84 000 ,78 000 , 92 000,,87 000 ,79 000 , 96 000,,88 000 ,80 000 , 98 000,,89 000 ,79 000 , 100 000,,88 000 ,78 000 , 100 000,,87 000 ,76 000 , 100 000,,86 000 ,75 000 , 100 000,,88 000 ,76 000 , 100 000,,91 000 ,79 000 , 100 000,,93 000 ,82 000 , 110 000,,97 000 ,86 000 , 110 000,,100 000 ,89 000 , 110 000,,100 000 ,94 000 , 120 000,,110 000 ,98 000 , 120 000,,110 000 ,100 000 , 120 000,,120 000 ,100 000 , 130 000,,120 000 ,110 000 , 130 000,,120 000 ,110 000 , 130 000,,120 000 ,110 000 , 140 000,,130 000 ,110 000 , 140 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 150 000,,140 000 ,120 000 , 150 000,,140 000 ,130 000 , 150 000,,140 000 ,130 000 , 150 000,,140 000 ,130 000 , 160 000,
Sri Lanka,<100 ,<100 , <200,"Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Estimates for children are not published because of small numbers.",<200 ,<100 , <500,"Estimates for children are not published because of small numbers.",<200 ,<100 , <500,"Estimates for children are not published because of small numbers.",<200 ,<100 , <500,"Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<200 , <1000,"Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<500 , 1100,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1400,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1600,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1900,"Estimates for children are not published because of small numbers.",1000 ,<1000 , 2100,"Estimates for children are not published because of small numbers.",1200 ,<1000 , 2400,"Estimates for children are not published because of small numbers.",1300 ,<1000 , 2700,"Estimates for children are not published because of small numbers.",1600 ,1100 , 3000,"Estimates for children are not published because of small numbers.",1800 ,1300 , 3200,"Estimates for children are not published because of small numbers.",2100 ,1400 , 3600,"Estimates for children are not published because of small numbers.",2400 ,1700 , 3900,"Estimates for children are not published because of small numbers.",2800 ,1900 , 4300,"Estimates for children are not published because of small numbers.",3100 ,2100 , 4800,"Estimates for children are not published because of small numbers.",3600 ,2400 , 5300,"Estimates for children are not published because of small numbers.",4000 ,2700 , 6000,"Estimates for children are not published because of small numbers."
Sudan,2000 ,<500 , 7700,,2600 ,<1000 , 9700,,3500 ,<1000 , 13 000,,4500 ,1300 , 15 000,,5700 ,2500 , 20 000,,7000 ,3300 , 22 000,,8400 ,3900 , 23 000,,9800 ,4800 , 24 000,,11 000 ,5700 , 25 000,,13 000 ,7100 , 27 000,,15 000 ,8300 , 28 000,,17 000 ,9800 , 29 000,,19 000 ,12 000 , 31 000,,22 000 ,15 000 , 34 000,,25 000 ,18 000 , 35 000,,28 000 ,21 000 , 38 000,,31 000 ,24 000 , 40 000,,34 000 ,28 000 , 42 000,,37 000 ,32 000 , 43 000,,40 000 ,34 000 , 47 000,,43 000 ,37 000 , 50 000,,46 000 ,37 000 , 56 000,,48 000 ,38 000 , 62 000,,50 000 ,37 000 , 69 000,,52 000 ,36 000 , 74 000,,54 000 ,36 000 , 80 000,,56 000 ,34 000 , 87 000,
Suriname,<500 ,<200 , <1000,,<1000 ,<500 , 1200,,<1000 ,<500 , 1600,,1200 ,<1000 , 2000,,1500 ,<1000 , 2500,,1900 ,1200 , 2800,,2200 ,1400 , 3200,,2600 ,1800 , 3500,,2900 ,2100 , 3800,,3200 ,2400 , 4100,,3400 ,2700 , 4200,,3600 ,3000 , 4300,,3700 ,3100 , 4300,,3700 ,3200 , 4300,,3800 ,3300 , 4300,,3800 ,3300 , 4300,,3800 ,3300 , 4300,,3800 ,3300 , 4400,,3900 ,3400 , 4500,,4000 ,3500 , 4600,,4100 ,3600 , 4700,,4200 ,3700 , 4800,,4400 ,3800 , 4900,,4500 ,4000 , 5100,,4600 ,4100 , 5300,,4800 ,4200 , 5500,,4900 ,4400 , 5600,
Swaziland,6900 ,5700 , 8500,,14 000 ,12 000 , 18 000,,26 000 ,22 000 , 31 000,,42 000 ,36 000 , 50 000,,61 000 ,53 000 , 71 000,,81 000 ,71 000 , 93 000,,100 000 ,90 000 , 110 000,,120 000 ,110 000 , 130 000,,130 000 ,120 000 , 150 000,,150 000 ,130 000 , 160 000,,150 000 ,140 000 , 170 000,,160 000 ,150 000 , 170 000,,160 000 ,150 000 , 170 000,,160 000 ,150 000 , 170 000,,170 000 ,150 000 , 170 000,,170 000 ,150 000 , 180 000,,170 000 ,150 000 , 180 000,,170 000 ,160 000 , 180 000,,180 000 ,160 000 , 190 000,,180 000 ,160 000 , 190 000,,180 000 ,170 000 , 200 000,,190 000 ,170 000 , 200 000,,200 000 ,180 000 , 210 000,,200 000 ,190 000 , 220 000,,210 000 ,190 000 , 220 000,,210 000 ,190 000 , 230 000,,220 000 ,200 000 , 230 000,
Sweden,4300 ,3800 , 4900,,4400 ,3900 , 5000,,4500 ,4000 , 5100,,4500 ,4000 , 5100,,4600 ,4100 , 5200,,4700 ,4200 , 5300,,4900 ,4400 , 5500,,5100 ,4600 , 5700,,5300 ,4800 , 6000,,5500 ,5000 , 6200,,5800 ,5200 , 6400,,6000 ,5400 , 6600,,6200 ,5600 , 6900,,6400 ,5800 , 7100,,6600 ,6000 , 7300,,6900 ,6200 , 7600,,7100 ,6400 , 7900,,7400 ,6700 , 8100,,7700 ,6900 , 8400,,7900 ,7200 , 8800,,8300 ,7500 , 9200,,8700 ,7900 , 9600,,9100 ,8300 , 10 000,,9600 ,8700 , 10 000,,10 000 ,9200 , 11 000,,11 000 ,9700 , 11 000,,11 000 ,10 000 , 12 000,
Switzerland,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Syrian Arab Republic,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Tajikistan,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , 1200,,1300 ,<1000 , 1800,,2000 ,1300 , 2600,,2800 ,1900 , 3600,,3800 ,2700 , 4900,,4900 ,3600 , 6200,,6000 ,4600 , 7500,,7100 ,5600 , 8800,,8200 ,6500 , 10 000,,9200 ,7400 , 11 000,,10 000 ,8000 , 12 000,,11 000 ,8400 , 14 000,,11 000 ,8700 , 15 000,,12 000 ,9100 , 15 000,,13 000 ,9400 , 16 000,,13 000 ,9900 , 17 000,,13 000 ,10 000 , 18 000,,14 000 ,10 000 , 19 000,
Thailand,180 000 ,170 000 , 200 000,,320 000 ,290 000 , 350 000,,450 000 ,400 000 , 490 000,,540 000 ,490 000 , 590 000,,610 000 ,540 000 , 670 000,,650 000 ,580 000 , 730 000,,680 000 ,600 000 , 770 000,,690 000 ,600 000 , 800 000,,700 000 ,600 000 , 820 000,,690 000 ,580 000 , 820 000,,680 000 ,560 000 , 810 000,,660 000 ,540 000 , 800 000,,630 000 ,510 000 , 780 000,,610 000 ,490 000 , 740 000,,580 000 ,470 000 , 720 000,,560 000 ,460 000 , 690 000,,550 000 ,450 000 , 670 000,,540 000 ,450 000 , 650 000,,530 000 ,440 000 , 630 000,,520 000 ,440 000 , 620 000,,510 000 ,440 000 , 600 000,,500 000 ,430 000 , 580 000,,490 000 ,430 000 , 570 000,,480 000 ,420 000 , 550 000,,470 000 ,410 000 , 540 000,,460 000 ,400 000 , 530 000,,450 000 ,400 000 , 520 000,
The former Yugoslav Republic of Macedonia,<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Estimates for children are not published because of small numbers.",<200 ,<100 , <200,"Estimates for children are not published because of small numbers.",<200 ,<100 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers."
Timor-Leste,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Togo,23 000 ,12 000 , 40 000,,30 000 ,17 000 , 51 000,,38 000 ,22 000 , 64 000,,47 000 ,28 000 , 77 000,,57 000 ,35 000 , 92 000,,68 000 ,42 000 , 110 000,,79 000 ,50 000 , 120 000,,90 000 ,58 000 , 140 000,,99 000 ,66 000 , 150 000,,110 000 ,72 000 , 160 000,,120 000 ,77 000 , 170 000,,120 000 ,82 000 , 170 000,,120 000 ,85 000 , 180 000,,130 000 ,87 000 , 180 000,,130 000 ,88 000 , 180 000,,130 000 ,89 000 , 180 000,,120 000 ,88 000 , 180 000,,120 000 ,87 000 , 170 000,,120 000 ,85 000 , 170 000,,120 000 ,83 000 , 160 000,,110 000 ,82 000 , 160 000,,110 000 ,80 000 , 150 000,,110 000 ,79 000 , 150 000,,110 000 ,77 000 , 140 000,,100 000 ,76 000 , 140 000,,100 000 ,74 000 , 140 000,,100 000 ,73 000 , 130 000,
Trinidad and Tobago,<1000 ,<500 , 1500,,1200 ,<1000 , 2000,,1600 ,1000 , 2600,,2200 ,1500 , 3200,,2900 ,2200 , 3900,,3700 ,2900 , 4600,,4500 ,3700 , 5400,,5300 ,4500 , 6100,,6000 ,5300 , 6800,,6700 ,6100 , 7400,,7300 ,6800 , 7900,,7900 ,7400 , 8300,,8300 ,7800 , 8700,,8700 ,8200 , 9100,,9000 ,8500 , 9500,,9400 ,8700 , 9800,,9600 ,9000 , 10 000,,9900 ,9100 , 10 000,,10 000 ,9300 , 11 000,,10 000 ,9400 , 11 000,,10 000 ,9600 , 11 000,,10 000 ,9600 , 11 000,,10 000 ,9600 , 11 000,,11 000 ,9700 , 11 000,,11 000 ,9700 , 11 000,,11 000 ,9800 , 11 000,,11 000 ,9800 , 12 000,
